season_year,netkeiba_id,mare_name,mare_birth_year,mare_sire_name,cover_date,expected_foaling_date,total_prize,best_win_class,offsprings_started,representative_offspring_name,representative_offspring_url,mare_netkeiba_url
2024,000a013898,コンクエストハーラネイト,2012,Harlan's Holiday,2024-05-07,2025-04-07,0,,5,ダノンブリザード,https://own.netkeiba.com/db/horse.html?id=2019101618,https://own.netkeiba.com/db/horse.html?id=000a013898
2024,000a01a8e7,コンシダレイト,2010,Dansili,2024-02-27,2025-01-27,0,,3,,,https://own.netkeiba.com/db/horse.html?id=000a01a8e7
2024,2019101156,ゴッドクインビー,2019,ロードカナロア,2024-04-02,2025-03-03,"1,590",22'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2019101156
2024,2016110083,サトノジャスミン,2016,Wilburn,2024-03-02,2025-01-31,0,,2,ゴージャス,https://own.netkeiba.com/db/horse.html?id=2022106996,https://own.netkeiba.com/db/horse.html?id=2016110083
2024,2018105179,サトノレイナス,2018,ディープインパクト,2024-04-24,2025-03-25,"11,338",20'サフラン賞(1勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018105179
2024,2020103237,サファイア,2020,ロードカナロア,2024-03-09,2025-02-07,630,23'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2020103237
2024,2009101032,サラファン,2009,アグネスタキオン,2024-05-06,2025-04-06,640,12'3歳未勝利,7,ダイシンアポロン,https://own.netkeiba.com/db/horse.html?id=2021100660,https://own.netkeiba.com/db/horse.html?id=2009101032
2024,2014105928,サロニカ,2014,ディープインパクト,2024-05-19,2025-04-19,"3,826",17'エルフィンS(OP),3,サロニコス,https://own.netkeiba.com/db/horse.html?id=2021105540,https://own.netkeiba.com/db/horse.html?id=2014105928
2024,000a01be89,サンカルパII,2016,True Cause,2024-02-17,2025-01-17,0,,2,ランメルスベルグ,https://own.netkeiba.com/db/horse.html?id=2022104795,https://own.netkeiba.com/db/horse.html?id=000a01be89
2024,000a01fda5,サンキューメアリールー,2011,Birdstone,2024-05-25,2025-04-25,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01fda5
2024,000a01da19,サンダードラム,2018,Dubawi,2024-05-01,2025-04-01,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01da19
2024,000a012944,シーニーンガール,2010,Spring At Last,2024-02-22,2025-01-22,0,,5,ダイワダグラス,https://own.netkeiba.com/db/horse.html?id=2016105056,https://own.netkeiba.com/db/horse.html?id=000a012944
