season_year,netkeiba_id,mare_name,mare_birth_year,mare_sire_name,cover_date,expected_foaling_date,total_prize,best_win_class,offsprings_started,representative_offspring_name,representative_offspring_url,mare_netkeiba_url
2025,2018104922,アールドヴィーヴル,2018,キングカメハメハ,2025-03-12,2026-02-10,"8,197",22'立雲峡S(3勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018104922
2025,2016101779,アイリスフィール,2016,ハービンジャー,2025-04-16,2026-03-17,"2,009",19'デイジー賞(500万下),3,ドゥラエテルノ,https://own.netkeiba.com/db/horse.html?id=2022102722,https://own.netkeiba.com/db/horse.html?id=2016101779
2025,2020103608,アイリッシュパール,2020,Saxon Warrior,2025-05-28,2026-04-28,946,23'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2020103608
2025,2017106203,アカイイト,2017,キズナ,2025-06-14,2026-05-15,"23,002",21'エリザベス女王杯(G1),0,,,https://own.netkeiba.com/db/horse.html?id=2017106203
2025,2007103323,アガルタ,2007,キングカメハメハ,2025-05-23,2026-04-23,0,,10,マイネルオフィール,https://own.netkeiba.com/db/horse.html?id=2012104504,https://own.netkeiba.com/db/horse.html?id=2007103323
2025,2014105806,アズレージョ,2014,タートルボウル,2025-03-21,2026-02-19,"1,450",17'3歳以上500万下,2,ジェロニモス,https://own.netkeiba.com/db/horse.html?id=2021101280,https://own.netkeiba.com/db/horse.html?id=2014105806
2025,2013103600,アドマイヤヒナタ,2013,キングカメハメハ,2025-05-08,2026-04-08,104,C2三,5,ジオパークマグマ,https://own.netkeiba.com/db/horse.html?id=2018106317,https://own.netkeiba.com/db/horse.html?id=2013103600
2025,2012104128,アルティマブラッド,2012,シンボリクリスエス,2025-05-05,2026-04-05,"11,779",17'ラピスラズリS(OP),2,イーグルノワール,https://own.netkeiba.com/db/horse.html?id=2021107170,https://own.netkeiba.com/db/horse.html?id=2012104128
2025,2018106580,アルナージ,2018,ダノンレジェンド,2025-03-14,2026-02-12,"1,741",21'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2018106580
2025,2020103692,アルナージェイン,2020,リアルスティール,2025-03-24,2026-02-22,"2,250",23'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2020103692
2025,000a01d8b1,アルマダニヤー,2019,Awtaad,2025-02-25,2026-01-26,0,,1,ディーズメンフィス,https://own.netkeiba.com/db/horse.html?id=2023102812,https://own.netkeiba.com/db/horse.html?id=000a01d8b1
2025,2016104349,アンドラステ,2016,オルフェーヴル,2025-02-24,2026-01-25,"16,534",21'トヨタ賞中京記念(G3),1,アンドゥーリル,https://own.netkeiba.com/db/horse.html?id=2023103752,https://own.netkeiba.com/db/horse.html?id=2016104349
2025,2015105970,アンリミット,2015,メイショウボーラー,2025-03-26,2026-02-24,"7,778",20'渡月橋S(3勝クラス),1,アルピノ,https://own.netkeiba.com/db/horse.html?id=2022101721,https://own.netkeiba.com/db/horse.html?id=2015105970
2025,000a01a924,インデリブル,2016,Tiznow,2025-03-28,2026-02-26,0,,1,エッセンシャルワン,https://own.netkeiba.com/db/horse.html?id=2020110014,https://own.netkeiba.com/db/horse.html?id=000a01a924
2025,2017104671,ウィンドファクター,2017,キングカメハメハ,2025-06-01,2026-05-02,0,,1,ライヴバフィ,https://own.netkeiba.com/db/horse.html?id=2022102498,https://own.netkeiba.com/db/horse.html?id=2017104671
2025,2020105210,ウインエレナ,2020,ロードカナロア,2025-03-08,2026-02-06,22,,0,,,https://own.netkeiba.com/db/horse.html?id=2020105210
2025,000a01b6d5,ウェイトゥヴェルサイユ,2014,Tizway,2025-03-04,2026-02-02,0,,1,アルヘンティニータ,https://own.netkeiba.com/db/horse.html?id=2021104455,https://own.netkeiba.com/db/horse.html?id=000a01b6d5
2025,2010100975,ウキヨノカゼ,2010,オンファイア,2025-05-22,2026-04-22,"18,320",15'キーンランドC(G3),1,ワレハカゼノコ,https://own.netkeiba.com/db/horse.html?id=2020104968,https://own.netkeiba.com/db/horse.html?id=2010100975
2025,2015104671,ウラヌスチャーム,2015,ルーラーシップ,2025-03-29,2026-02-27,"15,138",20'メトロポリタンS(L),1,,,https://own.netkeiba.com/db/horse.html?id=2015104671
2025,2016104649,エアジーン,2016,ハービンジャー,2025-03-11,2026-02-09,"6,571",20'初咲賞(2勝クラス),1,,,https://own.netkeiba.com/db/horse.html?id=2016104649
2025,000a012f87,エクセレンスII,2011,Champs Elysees,2025-05-13,2026-04-13,0,,6,レクセランス,https://own.netkeiba.com/db/horse.html?id=2017105241,https://own.netkeiba.com/db/horse.html?id=000a012f87
2025,000a011dce,エピックラヴ,2008,Dansili,2025-05-31,2026-05-01,0,,7,ダノンザキッド,https://own.netkeiba.com/db/horse.html?id=2018104963,https://own.netkeiba.com/db/horse.html?id=000a011dce
2025,000a01beae,エルヴァスII,2016,Catcher In The Rye,2025-04-17,2026-03-18,0,,1,ブルクトーア,https://own.netkeiba.com/db/horse.html?id=2022104694,https://own.netkeiba.com/db/horse.html?id=000a01beae
2025,000a01a95b,オールインファン,2012,Tapit,2025-05-26,2026-04-26,0,,3,テーオーグランビル,https://own.netkeiba.com/db/horse.html?id=2020110081,https://own.netkeiba.com/db/horse.html?id=000a01a95b
2025,2015102382,オールフォーラヴ,2015,ディープインパクト,2025-04-28,2026-03-29,"8,140",19'米子S(L),2,ロードラヴォール,https://own.netkeiba.com/db/horse.html?id=2023105796,https://own.netkeiba.com/db/horse.html?id=2015102382
2025,2014110121,カスタディーヴァ,2014,High Chaparral,2025-03-20,2026-02-18,"1,140",17'3歳未勝利,3,アオラキ,https://own.netkeiba.com/db/horse.html?id=2020106692,https://own.netkeiba.com/db/horse.html?id=2014110121
2025,000a01ff4b,カトゥーシャ,2019,Almanzor,2025-04-22,2026-03-23,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01ff4b
2025,000a01fda0,キービスケーン,2017,Brethren,2025-03-26,2026-02-24,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01fda0
2025,2018110021,キトゥンズワルツ,2018,Air Force Blue,2025-03-02,2026-01-31,821,21'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2018110021
2025,000a013907,キャッチザカクテル,2012,Catcher In The Rye,2025-05-11,2026-04-11,0,,6,サトノアイ,https://own.netkeiba.com/db/horse.html?id=2018106504,https://own.netkeiba.com/db/horse.html?id=000a013907
2025,2018104239,クープドクール,2018,エイシンヒカリ,2025-03-15,2026-02-13,"2,768",21'萌黄賞(1勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018104239
2025,2013102089,クラシックス,2013,キングヘイロー,2025-04-30,2026-03-31,604,C2七 八,4,ドンアミティエ,https://own.netkeiba.com/db/horse.html?id=2020106006,https://own.netkeiba.com/db/horse.html?id=2013102089
