season_year,netkeiba_id,mare_name,mare_birth_year,mare_sire_name,cover_date,expected_foaling_date,total_prize,best_win_class,offsprings_started,representative_offspring_name,representative_offspring_url,mare_netkeiba_url
2023,2018104922,アールドヴィーヴル,2018,キングカメハメハ,2023-03-12,2024-02-10,"8,197",22'立雲峡S(3勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018104922
2023,2016101779,アイリスフィール,2016,ハービンジャー,2023-04-16,2024-03-16,"2,009",19'デイジー賞(500万下),3,ドゥラエテルノ,https://own.netkeiba.com/db/horse.html?id=2022102722,https://own.netkeiba.com/db/horse.html?id=2016101779
2023,2020103608,アイリッシュパール,2020,Saxon Warrior,2023-05-28,2024-04-27,946,23'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2020103608
2023,2017106203,アカイイト,2017,キズナ,2023-06-14,2024-05-14,"23,002",21'エリザベス女王杯(G1),0,,,https://own.netkeiba.com/db/horse.html?id=2017106203
2023,2007103323,アガルタ,2007,キングカメハメハ,2023-05-23,2024-04-22,0,,10,マイネルオフィール,https://own.netkeiba.com/db/horse.html?id=2012104504,https://own.netkeiba.com/db/horse.html?id=2007103323
2023,2014105806,アズレージョ,2014,タートルボウル,2023-03-21,2024-02-19,"1,450",17'3歳以上500万下,2,ジェロニモス,https://own.netkeiba.com/db/horse.html?id=2021101280,https://own.netkeiba.com/db/horse.html?id=2014105806
2023,2013103600,アドマイヤヒナタ,2013,キングカメハメハ,2023-05-08,2024-04-07,104,C2三,5,ジオパークマグマ,https://own.netkeiba.com/db/horse.html?id=2018106317,https://own.netkeiba.com/db/horse.html?id=2013103600
2023,2012104128,アルティマブラッド,2012,シンボリクリスエス,2023-05-05,2024-04-04,"11,779",17'ラピスラズリS(OP),2,イーグルノワール,https://own.netkeiba.com/db/horse.html?id=2021107170,https://own.netkeiba.com/db/horse.html?id=2012104128
2023,2018106580,アルナージ,2018,ダノンレジェンド,2023-03-14,2024-02-12,"1,741",21'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2018106580
2023,2020103692,アルナージェイン,2020,リアルスティール,2023-03-24,2024-02-22,"2,250",23'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2020103692
2023,000a01d8b1,アルマダニヤー,2019,Awtaad,2023-02-25,2024-01-26,0,,1,ディーズメンフィス,https://own.netkeiba.com/db/horse.html?id=2023102812,https://own.netkeiba.com/db/horse.html?id=000a01d8b1
2023,2016104349,アンドラステ,2016,オルフェーヴル,2023-02-24,2024-01-25,"16,534",21'トヨタ賞中京記念(G3),1,アンドゥーリル,https://own.netkeiba.com/db/horse.html?id=2023103752,https://own.netkeiba.com/db/horse.html?id=2016104349
2023,2015105970,アンリミット,2015,メイショウボーラー,2023-03-26,2024-02-24,"7,778",20'渡月橋S(3勝クラス),1,アルピノ,https://own.netkeiba.com/db/horse.html?id=2022101721,https://own.netkeiba.com/db/horse.html?id=2015105970
2023,000a01a924,インデリブル,2016,Tiznow,2023-03-28,2024-02-26,0,,1,エッセンシャルワン,https://own.netkeiba.com/db/horse.html?id=2020110014,https://own.netkeiba.com/db/horse.html?id=000a01a924
2023,2017104671,ウィンドファクター,2017,キングカメハメハ,2023-06-01,2024-05-01,0,,1,ライヴバフィ,https://own.netkeiba.com/db/horse.html?id=2022102498,https://own.netkeiba.com/db/horse.html?id=2017104671
2023,2020105210,ウインエレナ,2020,ロードカナロア,2023-03-08,2024-02-06,22,,0,,,https://own.netkeiba.com/db/horse.html?id=2020105210
2023,000a01b6d5,ウェイトゥヴェルサイユ,2014,Tizway,2023-03-04,2024-02-02,0,,1,アルヘンティニータ,https://own.netkeiba.com/db/horse.html?id=2021104455,https://own.netkeiba.com/db/horse.html?id=000a01b6d5
2023,2010100975,ウキヨノカゼ,2010,オンファイア,2023-05-22,2024-04-21,"18,320",15'キーンランドC(G3),1,ワレハカゼノコ,https://own.netkeiba.com/db/horse.html?id=2020104968,https://own.netkeiba.com/db/horse.html?id=2010100975
2023,2015104671,ウラヌスチャーム,2015,ルーラーシップ,2023-03-29,2024-02-27,"15,138",20'メトロポリタンS(L),1,,,https://own.netkeiba.com/db/horse.html?id=2015104671
2023,2016104649,エアジーン,2016,ハービンジャー,2023-03-11,2024-02-09,"6,571",20'初咲賞(2勝クラス),1,,,https://own.netkeiba.com/db/horse.html?id=2016104649
2023,000a012f87,エクセレンスII,2011,Champs Elysees,2023-05-13,2024-04-12,0,,6,レクセランス,https://own.netkeiba.com/db/horse.html?id=2017105241,https://own.netkeiba.com/db/horse.html?id=000a012f87
2023,000a011dce,エピックラヴ,2008,Dansili,2023-05-31,2024-04-30,0,,7,ダノンザキッド,https://own.netkeiba.com/db/horse.html?id=2018104963,https://own.netkeiba.com/db/horse.html?id=000a011dce
2023,000a01beae,エルヴァスII,2016,Catcher In The Rye,2023-04-17,2024-03-17,0,,1,ブルクトーア,https://own.netkeiba.com/db/horse.html?id=2022104694,https://own.netkeiba.com/db/horse.html?id=000a01beae
2023,000a01a95b,オールインファン,2012,Tapit,2023-05-26,2024-04-25,0,,3,テーオーグランビル,https://own.netkeiba.com/db/horse.html?id=2020110081,https://own.netkeiba.com/db/horse.html?id=000a01a95b
2023,2015102382,オールフォーラヴ,2015,ディープインパクト,2023-04-28,2024-03-28,"8,140",19'米子S(L),2,ロードラヴォール,https://own.netkeiba.com/db/horse.html?id=2023105796,https://own.netkeiba.com/db/horse.html?id=2015102382
2023,2014110121,カスタディーヴァ,2014,High Chaparral,2023-03-20,2024-02-18,"1,140",17'3歳未勝利,3,アオラキ,https://own.netkeiba.com/db/horse.html?id=2020106692,https://own.netkeiba.com/db/horse.html?id=2014110121
2023,000a01ff4b,カトゥーシャ,2019,Almanzor,2023-04-22,2024-03-22,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01ff4b
2023,000a01fda0,キービスケーン,2017,Brethren,2023-03-26,2024-02-24,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01fda0
2023,2018110021,キトゥンズワルツ,2018,Air Force Blue,2023-03-02,2024-01-31,821,21'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2018110021
2023,000a013907,キャッチザカクテル,2012,Catcher In The Rye,2023-05-11,2024-04-10,0,,6,サトノアイ,https://own.netkeiba.com/db/horse.html?id=2018106504,https://own.netkeiba.com/db/horse.html?id=000a013907
2023,2018104239,クープドクール,2018,エイシンヒカリ,2023-03-15,2024-02-13,"2,768",21'萌黄賞(1勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018104239
2023,2013102089,クラシックス,2013,キングヘイロー,2023-04-30,2024-03-30,604,C2七 八,4,ドンアミティエ,https://own.netkeiba.com/db/horse.html?id=2020106006,https://own.netkeiba.com/db/horse.html?id=2013102089
2023,2019102742,クレア,2019,ビッグアーサー,2023-05-07,2024-04-06,"2,724",23'4歳以上2勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2019102742
2023,2019102327,ケデシュ,2019,リオンディーズ,2023-04-23,2024-03-23,"3,419",22'猪名川特別(2勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2019102327
2023,000a013daf,コーステッド,2014,Tizway,2023-02-20,2024-01-21,0,,5,ダノンベルーガ,https://own.netkeiba.com/db/horse.html?id=2019105195,https://own.netkeiba.com/db/horse.html?id=000a013daf
2023,000a013ebd,コッパ,2013,Yesbyjimminy,2023-03-11,2024-02-09,0,,4,トゥードジボン,https://own.netkeiba.com/db/horse.html?id=2019104730,https://own.netkeiba.com/db/horse.html?id=000a013ebd
2023,000a014964,コム,2016,Le Havre,2023-05-04,2024-04-03,0,未勝利戦,2,コムユンプリュム,https://own.netkeiba.com/db/horse.html?id=2022105318,https://own.netkeiba.com/db/horse.html?id=000a014964
2023,2019105476,コラリン,2019,ダイワメジャー,2023-05-17,2024-04-16,"3,484",21'カンナS(OP),0,,,https://own.netkeiba.com/db/horse.html?id=2019105476
2023,000a013898,コンクエストハーラネイト,2012,Harlan's Holiday,2023-05-07,2024-04-06,0,,5,ダノンブリザード,https://own.netkeiba.com/db/horse.html?id=2019101618,https://own.netkeiba.com/db/horse.html?id=000a013898
2023,000a01a8e7,コンシダレイト,2010,Dansili,2023-02-27,2024-01-28,0,,3,,,https://own.netkeiba.com/db/horse.html?id=000a01a8e7
2023,2019101156,ゴッドクインビー,2019,ロードカナロア,2023-04-02,2024-03-02,"1,590",22'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2019101156
2023,2016110083,サトノジャスミン,2016,Wilburn,2023-03-02,2024-01-31,0,,2,ゴージャス,https://own.netkeiba.com/db/horse.html?id=2022106996,https://own.netkeiba.com/db/horse.html?id=2016110083
2023,2018105179,サトノレイナス,2018,ディープインパクト,2023-04-24,2024-03-24,"11,338",20'サフラン賞(1勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018105179
2023,2020103237,サファイア,2020,ロードカナロア,2023-03-09,2024-02-07,630,23'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2020103237
2023,2009101032,サラファン,2009,アグネスタキオン,2023-05-06,2024-04-05,640,12'3歳未勝利,7,ダイシンアポロン,https://own.netkeiba.com/db/horse.html?id=2021100660,https://own.netkeiba.com/db/horse.html?id=2009101032
2023,2014105928,サロニカ,2014,ディープインパクト,2023-05-19,2024-04-18,"3,826",17'エルフィンS(OP),3,サロニコス,https://own.netkeiba.com/db/horse.html?id=2021105540,https://own.netkeiba.com/db/horse.html?id=2014105928
2023,000a01be89,サンカルパII,2016,True Cause,2023-02-17,2024-01-18,0,,2,ランメルスベルグ,https://own.netkeiba.com/db/horse.html?id=2022104795,https://own.netkeiba.com/db/horse.html?id=000a01be89
2023,000a01fda5,サンキューメアリールー,2011,Birdstone,2023-05-25,2024-04-24,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01fda5
2023,000a01da19,サンダードラム,2018,Dubawi,2023-05-01,2024-03-31,0,,0,,,https://own.netkeiba.com/db/horse.html?id=000a01da19
2023,000a012944,シーニーンガール,2010,Spring At Last,2023-02-22,2024-01-23,0,,5,ダイワダグラス,https://own.netkeiba.com/db/horse.html?id=2016105056,https://own.netkeiba.com/db/horse.html?id=000a012944
